MAC_addr	MAC_vendor  	MAC_type
00:00:00	XEROX CORPORATION  	misc
00:00:01	XEROX CORPORATION  	misc
00:00:02	XEROX CORPORATION  	misc
00:00:03	XEROX CORPORATION  	misc
00:00:04	XEROX CORPORATION  	misc
00:00:05	XEROX CORPORATION  	misc
00:00:06	XEROX CORPORATION  	misc
00:00:07	XEROX CORPORATION  	misc
00:00:08	XEROX CORPORATION  	misc
00:00:09	XEROX CORPORATION  	misc
00:00:0a	OMRON TATEISI ELECTRONICS CO.  	misc
00:00:0b	MATRIX CORPORATION  	misc
00:00:0c	CISCO SYSTEMS, INC.  	misc
00:00:0d	FIBRONICS LTD.  	misc
00:00:0e	FUJITSU LIMITED  	misc
00:00:0f	NEXT, INC.  	misc
00:00:10	SYTEK INC.  	misc
00:00:11	NORMEREL SYSTEMES  	misc
00:00:12	INFORMATION TECHNOLOGY LIMITED  	misc
00:00:13	CAMEX  	misc
00:00:14	NETRONIX  	misc
00:00:15	DATAPOINT CORPORATION  	misc
00:00:16	DU PONT PIXEL SYSTEMS     .  	misc
00:00:17	Oracle  	misc
00:00:18	WEBSTER COMPUTER CORPORATION  	misc
00:00:19	APPLIED DYNAMICS INTERNATIONAL  	misc
00:00:1a	ADVANCED MICRO DEVICES  	misc
00:00:1b	NOVELL INC.  	misc
00:00:1c	BELL TECHNOLOGIES  	misc
00:00:1d	CABLETRON SYSTEMS, INC.  	misc
00:00:1e	TELSIST INDUSTRIA ELECTRONICA  	misc
00:00:1f	Telco Systems, Inc.  	misc
00:00:20	DATAINDUSTRIER DIAB AB  	misc
00:00:21	SUREMAN COMP. & COMMUN. CORP.  	misc
00:00:22	VISUAL TECHNOLOGY INC.  	misc
00:00:23	ABB INDUSTRIAL SYSTEMS AB  	misc
00:00:24	CONNECT AS  	misc
00:00:25	RAMTEK CORP.  	misc
00:00:26	SHA-KEN CO., LTD.  	misc
00:00:27	JAPAN RADIO COMPANY  	misc
00:00:28	PRODIGY SYSTEMS CORPORATION  	misc
00:00:29	IMC NETWORKS CORP.  	misc
00:00:2a	TRW SEDD/INP 	misc
00:00:2b	CRISP AUTOMATION, INC  	misc
00:00:2c	AUTOTOTE LIMITED  	misc
00:00:2d	CHROMATICS INC  	misc
00:00:2e	SOCIETE EVIRA  	misc
00:00:2f	TIMEPLEX INC.  	misc
00:00:30	VG LABORATORY SYSTEMS LTD  	misc
00:00:31	QPSX COMMUNICATIONS PTY LTD  	misc
00:00:32	Marconi plc  	misc
00:00:33	EGAN MACHINERY COMPANY  	misc
00:00:34	NETWORK RESOURCES CORPORATION  	misc
00:00:35	SPECTRAGRAPHICS CORPORATION  	misc
00:00:36	ATARI CORPORATION  	misc
00:00:37	OXFORD METRICS LIMITED  	misc
00:00:38	CSS LABS  	misc
00:00:39	TOSHIBA CORPORATION  	misc
00:00:3a	CHYRON CORPORATION  	misc
00:00:3b	i Controls, Inc.  	misc
00:00:3c	AUSPEX SYSTEMS INC.  	misc
00:00:3d	UNISYS  	misc
00:00:3e	SIMPACT  	misc
00:00:3f	SYNTREX, INC.  	misc
00:00:40	APPLICON, INC.  	misc
00:00:41	ICE CORPORATION  	misc
00:00:42	METIER MANAGEMENT SYSTEMS LTD.  	misc
00:00:43	MICRO TECHNOLOGY  	misc
00:00:44	CASTELLE CORPORATION  	misc
00:00:45	FORD AEROSPACE & COMM. CORP.  	misc
00:00:46	OLIVETTI NORTH AMERICA  	misc
00:00:47	NICOLET INSTRUMENTS CORP.  	misc
00:00:48	SEIKO EPSON CORPORATION  	misc
00:00:49	APRICOT COMPUTERS, LTD  	misc
00:00:4a	ADC CODENOLL TECHNOLOGY CORP.  	misc
00:00:4b	ICL DATA OY  	misc
00:00:4c	NEC CORPORATION  	misc
00:00:4d	DCI CORPORATION  	misc
00:00:4e	AMPEX CORPORATION  	misc
00:00:4f	LOGICRAFT, INC.  	misc
00:00:50	RADISYS CORPORATION  	misc
00:00:51	HOB ELECTRONIC GMBH & CO. KG  	misc
00:00:52	Intrusion.com, Inc.  	misc
00:00:53	COMPUCORP  	misc
00:00:54	Schnieder Electric  	misc
00:00:55	COMMISSARIAT A L`ENERGIE ATOM.  	misc
00:00:56	DR. B. STRUCK  	misc
00:00:57	SCITEX CORPORATION LTD.  	misc
00:00:58	RACORE COMPUTER PRODUCTS INC.  	misc
00:00:59	HELLIGE GMBH  	misc
00:00:5a	SysKonnect GmbH  	misc
00:00:5b	ELTEC ELEKTRONIK AG  	misc
00:00:5c	TELEMATICS INTERNATIONAL INC.  	misc
00:00:5d	CS TELECOM  	misc
00:00:5e	ICANN, IANA Department  	misc
00:00:5f	SUMITOMO ELECTRIC IND., LTD.  	misc
00:00:60	KONTRON ELEKTRONIK GMBH  	misc
00:00:61	GATEWAY COMMUNICATIONS  	misc
00:00:62	BULL HN INFORMATION SYSTEMS  	misc
00:00:63	BARCO CONTROL ROOMS GMBH  	misc
00:00:64	YOKOGAWA DIGITAL COMPUTER CORP  	misc
00:00:65	Network General Corporation  	misc
00:00:66	TALARIS SYSTEMS, INC.  	misc
00:00:67	SOFT * RITE, INC.  	misc
00:00:68	ROSEMOUNT CONTROLS  	misc
00:00:69	CONCORD COMMUNICATIONS INC  	misc
00:00:6a	COMPUTER CONSOLES INC.  	misc
00:00:6b	SILICON GRAPHICS INC./MIPS  	misc
00:00:6c	PRIVATE  	misc
00:00:6d	CRAY COMMUNICATIONS, LTD.  	misc
00:00:6e	ARTISOFT, INC.  	misc
00:00:6f	Madge Ltd.  	misc
00:00:70	HCL LIMITED  	misc
00:00:71	ADRA SYSTEMS INC.  	misc
00:00:72	MINIWARE TECHNOLOGY  	misc
00:00:73	SIECOR CORPORATION  	misc
00:00:74	RICOH COMPANY LTD.  	misc
00:00:75	Nortel Networks  	misc
00:00:76	ABEKAS VIDEO SYSTEM  	misc
00:00:77	INTERPHASE CORPORATION  	misc
00:00:78	LABTAM LIMITED  	misc
00:00:79	NETWORTH INCORPORATED  	misc
00:00:7a	DANA COMPUTER INC.  	misc
00:00:7b	RESEARCH MACHINES  	misc
00:00:7c	AMPERE INCORPORATED  	misc
00:00:7d	Oracle Corporation  	misc
00:00:7e	CLUSTRIX CORPORATION  	misc
00:00:7f	LINOTYPE-HELL AG  	misc
00:00:80	CRAY COMMUNICATIONS A/S  	misc
00:00:81	BAY NETWORKS  	misc
00:00:82	LECTRA SYSTEMES SA  	misc
00:00:83	TADPOLE TECHNOLOGY PLC  	misc
00:00:84	SUPERNET  	misc
00:00:85	CANON INC.  	misc
00:00:86	MEGAHERTZ CORPORATION  	misc
00:00:87	HITACHI, LTD.  	misc
00:00:88	Brocade Communications Systems, Inc.  	misc
00:00:89	CAYMAN SYSTEMS INC.  	misc
00:00:8a	DATAHOUSE INFORMATION SYSTEMS  	misc
00:00:8b	INFOTRON  	misc
00:00:8c	Alloy Computer Products (Australia) Pty Ltd  	misc
00:00:8d	Cryptek Inc.  	misc
00:00:8e	SOLBOURNE COMPUTER, INC.  	misc
00:00:8f	Raytheon  	misc
00:00:90	MICROCOM  	misc
00:00:91	ANRITSU CORPORATION  	misc
00:00:92	COGENT DATA TECHNOLOGIES  	misc
00:00:93	PROTEON INC.  	misc
00:00:94	ASANTE TECHNOLOGIES  	misc
00:00:95	SONY TEKTRONIX CORP.  	misc
00:00:96	MARCONI ELECTRONICS LTD.  	misc
00:00:97	EMC Corporation  	misc
00:00:98	CROSSCOMM CORPORATION  	misc
00:00:99	MTX, INC.  	misc
00:00:9a	RC COMPUTER A/S  	misc
00:00:9b	INFORMATION INTERNATIONAL, INC  	misc
00:00:9c	ROLM MIL-SPEC COMPUTERS  	misc
00:00:9d	LOCUS COMPUTING CORPORATION  	misc
00:00:9e	MARLI S.A.  	misc
00:00:9f	AMERISTAR TECHNOLOGIES INC.  	misc
00:00:a0	SANYO Electric Co., Ltd.  	misc
00:00:a1	MARQUETTE ELECTRIC CO.  	misc
00:00:a2	BAY NETWORKS  	misc
00:00:a3	NETWORK APPLICATION TECHNOLOGY  	misc
00:00:a4	ACORN COMPUTERS LIMITED  	misc
00:00:a5	Tattile SRL  	misc
00:00:a6	NETWORK GENERAL CORPORATION  	misc
00:00:a7	NETWORK COMPUTING DEVICES INC.  	misc
00:00:a8	STRATUS COMPUTER INC.  	misc
00:00:a9	NETWORK SYSTEMS CORP.  	misc
00:00:aa	XEROX CORPORATION  	misc
00:00:ab	LOGIC MODELING CORPORATION  	misc
00:00:ac	CONWARE COMPUTER CONSULTING  	misc
00:00:ad	BRUKER INSTRUMENTS INC.  	misc
00:00:ae	DASSAULT ELECTRONIQUE  	misc
00:00:af	NUCLEAR DATA INSTRUMENTATION  	misc
00:00:b0	RND-RAD NETWORK DEVICES  	misc
00:00:b1	ALPHA MICROSYSTEMS INC.  	misc
00:00:b2	TELEVIDEO SYSTEMS, INC.  	misc
00:00:b3	CIMLINC INCORPORATED  	misc
00:00:b4	EDIMAX COMPUTER COMPANY  	misc
00:00:b5	DATABILITY SOFTWARE SYS. INC.  	misc
00:00:b6	MICRO-MATIC RESEARCH  	misc
00:00:b7	DOVE COMPUTER CORPORATION  	misc
00:00:b8	SEIKOSHA CO., LTD.  	misc
00:00:b9	MCDONNELL DOUGLAS COMPUTER SYS  	misc
00:00:ba	SIIG, INC.  	misc
00:00:bb	TRI-DATA  	misc
00:00:bc	Rockwell Automation  	misc
00:00:bd	MITSUBISHI CABLE COMPANY  	misc
00:00:be	THE NTI GROUP  	misc
00:00:bf	SYMMETRIC COMPUTER SYSTEMS  	misc
00:00:c0	WESTERN DIGITAL CORPORATION  	misc
00:00:c1	Madge Ltd.  	misc
00:00:c2	INFORMATION PRESENTATION TECH.  	misc
00:00:c3	HARRIS CORP COMPUTER SYS DIV  	misc
00:00:c4	WATERS DIV. OF MILLIPORE  	misc
00:00:c5	FARALLON COMPUTING/NETOPIA  	misc
00:00:c6	EON SYSTEMS  	misc
00:00:c7	ARIX CORPORATION  	misc
00:00:c8	ALTOS COMPUTER SYSTEMS  	misc
00:00:c9	Emulex Corporation  	misc
00:00:ca	ARRIS International  	misc
00:00:cb	COMPU-SHACK ELECTRONIC GMBH  	misc
00:00:cc	DENSAN CO., LTD.  	misc
00:00:cd	Allied Telesis Labs Ltd  	misc
00:00:ce	MEGADATA CORP.  	misc
00:00:cf	HAYES MICROCOMPUTER PRODUCTS  	misc
00:00:d0	DEVELCON ELECTRONICS LTD.  	misc
00:00:d1	ADAPTEC INCORPORATED  	misc
00:00:d2	SBE, INC.  	misc
00:00:d3	WANG LABORATORIES INC.  	misc
00:00:d4	PURE DATA LTD.  	misc
00:00:d5	MICROGNOSIS INTERNATIONAL  	misc
00:00:d6	PUNCH LINE HOLDING  	misc
00:00:d7	DARTMOUTH COLLEGE  	misc
00:00:d8	NOVELL, INC.  	misc
00:00:d9	NIPPON TELEGRAPH & TELEPHONE  	misc
00:00:da	ATEX  	misc
00:00:db	British Telecommunications plc  	misc
00:00:dc	HAYES MICROCOMPUTER PRODUCTS  	misc
00:00:dd	TCL INCORPORATED  	misc
00:00:de	CETIA  	misc
00:00:df	BELL & HOWELL PUB SYS DIV  	misc
00:00:e0	QUADRAM CORP.  	misc
00:00:e1	GRID SYSTEMS  	misc
00:00:e2	ACER TECHNOLOGIES CORP.  	misc
00:00:e3	INTEGRATED MICRO PRODUCTS LTD  	misc
00:00:e4	IN2 GROUPE INTERTECHNIQUE  	misc
00:00:e5	SIGMEX LTD.  	misc
00:00:e6	APTOR PRODUITS DE COMM INDUST  	misc
00:00:e7	STAR GATE TECHNOLOGIES  	misc
00:00:e8	ACCTON TECHNOLOGY CORP.  	misc
00:00:e9	ISICAD, INC.  	misc
00:00:ea	UPNOD AB  	misc
00:00:eb	MATSUSHITA COMM. IND. CO. LTD.  	misc
00:00:ec	MICROPROCESS  	misc
00:00:ed	APRIL  	misc
00:00:ee	NETWORK DESIGNERS, LTD.  	misc
00:00:ef	KTI  	misc
00:00:f0	SAMSUNG ELECTRONICS CO., LTD.  	misc
00:00:f1	MAGNA COMPUTER CORPORATION  	misc
00:00:f2	SPIDER COMMUNICATIONS  	misc
00:00:f3	GANDALF DATA LIMITED  	misc
00:00:f4	Allied Telesis  	misc
00:00:f5	DIAMOND SALES LIMITED  	misc
00:00:f6	APPLIED MICROSYSTEMS CORP.  	misc
00:00:f7	YOUTH KEEP ENTERPRISE CO LTD  	misc
00:00:f8	DIGITAL EQUIPMENT CORPORATION  	misc
00:00:f9	QUOTRON SYSTEMS INC.  	misc
00:00:fa	MICROSAGE COMPUTER SYSTEMS INC  	misc
00:00:fb	RECHNER ZUR KOMMUNIKATION  	misc
00:00:fc	MEIKO  	misc
00:00:fd	HIGH LEVEL HARDWARE  	misc
00:00:fe	ANNAPOLIS MICRO SYSTEMS  	misc
00:00:ff	CAMTEC ELECTRONICS LTD.  	misc
00:01:00	EQUIP'TRANS  	misc
00:01:01	PRIVATE  	misc
00:01:02	3COM CORPORATION  	misc
00:01:03	3COM CORPORATION  	misc
00:01:04	DVICO Co., Ltd.  	misc
00:01:05	Beckhoff Automation GmbH  	misc
00:01:06	Tews Datentechnik GmbH  	misc
00:01:07	Leiser GmbH  	misc
00:01:08	AVLAB Technology, Inc.  	misc
00:01:09	Nagano Japan Radio Co., Ltd.  	misc
00:01:0a	CIS TECHNOLOGY INC.  	misc
00:01:0b	Space CyberLink, Inc.  	misc
00:01:0c	System Talks Inc.  	misc
00:01:0d	CORECO, INC.  	misc
00:01:0e	Bri-Link Technologies Co., Ltd  	misc
00:01:0f	Brocade Communications Systems, Inc.  	misc
00:01:10	Gotham Networks  	misc
00:01:11	iDigm Inc.  	misc
00:01:12	Shark Multimedia Inc.  	misc
